"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
1.4,"indep",100,100,-0.0152296037423545,-0.0186061941169771,-0.0156449009832143,-0.00337659037462263,-0.000415297240859789,0.0134223672426388,0.0137952681143804,3.43162034647466,6.30516274742461,0.115326599809254,0.113911891897954,0.9524,0.9559,1e+09,1e+09,0.00115282922743282,0.00113916830839028,2.65165384505373e-05,2.80536016062829e-05,0.00212918388120895,0.0020531729103999
1.6,"indep",100,100,0.11950845023525,0.116861555892845,0.118438235980377,-0.002646894342405,-0.00107021425487265,0.0107562471995707,0.0110029371566705,3.06160903006925,5.42528322224223,0.103080578257239,0.102160743214672,0.9529,0.956,1e+09,1e+09,0.00103051742005363,0.001021602455322,1.76501870406071e-05,1.83676710848824e-05,0.00211852755469453,0.00205095099892708
1.8,"indep",100,100,0.238117089498186,0.236392714556978,0.2370499731226,-0.00172437494120745,-0.00106711637558582,0.0089691720120687,0.00915468863910155,-0.816501063228847,1.23499133264753,0.095751197883254,0.0950959657781506,0.947,0.9498,1e+09,1e+09,0.000957404567079417,0.000950947331388401,1.27561048590992e-05,1.31569488970509e-05,0.00224033479640879,0.00218357413430367
2,"indep",100,100,0.3440673193682,0.344836988449198,0.344832209115562,0.000769669080997959,0.000764889747361275,0.00768485417679106,0.00783591688784298,3.5731981511018,5.60915716152468,0.0865985557902915,0.0861369579083372,0.9513,0.9549,1e+09,1e+09,0.000865994654787898,0.000861378687606125,9.16229893837753e-06,9.39654351634408e-06,0.00215240121724552,0.00207523468552354
2.5,"indep",100,100,0.568114576119708,0.569278787461662,0.568323298617138,0.00116421134195444,0.00020872249742987,0.00579826651836176,0.00591447818319584,-0.154362837385591,1.8467917636217,0.0764625567550151,0.0762016638039491,0.9474,0.9513,1e+09,1e+09,0.000764575161291709,0.000762051883042198,5.06575593581014e-06,5.16346198631347e-06,0.00223233599621562,0.00215240121724552
3,"indep",100,100,0.750926350877081,0.752501243009057,0.751037329673338,0.00157489213197604,0.000110978796256322,0.00478560181924871,0.00488971350459695,1.22012484160854,3.42218806927446,0.0689304084939129,0.0687564896888762,0.9501,0.9536,1e+09,1e+09,0.000689158607977676,0.00068759838202095,3.13754212457616e-06,3.19488190579999e-06,0.00217738352156895,0.00210349803898173
4,"indep",100,100,1.03909537988909,1.04105055868472,1.0390924893951,0.00195517879563334,-2.89049398727315e-06,0.00379038180190958,0.00388719281913568,-1.76002708596257,0.749142756843657,0.0622218950314138,0.0621120190306953,0.9452,0.9494,1e+09,1e+09,0.00062194278756236,0.000621151247973258,1.58652686127704e-06,1.65108772504144e-06,0.0022758945494025,0.00219179469841498
5,"indep",100,100,1.26246416206874,1.26489233112068,1.26270660459434,0.0024281690519401,0.000242442525597353,0.00333246901391713,0.00342718978993563,-1.83194088578508,0.958349046603146,0.0583571567350986,0.0582612773495513,0.9478,0.9518,1e+09,1e+09,0.000583095338468231,0.000582636861667342,9.42427454133147e-07,1.03215508839929e-06,0.00222430123859157,0.00214188608473934
0.2,"indep",3,7,NA,-0.675321422961615,-1.09644365606144,NA,NA,5.72124867983215,0.438253925874513,262.489534673568,-72.2329039429594,NA,NA,NA,NA,368282358,363200000,NA,NA,0.120886626383626,0.00135108314395442,NA,NA
0.3,"indep",3,7,NA,-0.634578582390612,-1.0305410242977,NA,NA,5.34290844367383,0.434315216622023,252.802780473656,-71.3213097994044,NA,NA,NA,NA,398158238,392500000,NA,NA,0.113686998952844,0.00136014202829443,NA,NA
