"theta","design","n1","n2","rho","true_lnM","delta_bias","rmse_delta","safe_bias_mean","rmse_mean","safe_bias_med","rmse_med","safe_bias_mode","rmse_mode","relbias_delta","relbias_safe","cover_delta","cover_safe","boot_keep","boot_total"
2,"indep",12,28,0,0.331466700981724,0.00721515166973868,0.218627606983797,0.000533781620561891,0.228798638448494,0.0104100604068554,0.21773001191774,0.0253680266043851,0.20392513075403,-2.94114920349851,0.38729007174445,0.938,0.944,14850701,1e+07
3,"indep",12,28,0,0.745380810400251,0.0112646940275981,0.173159615515753,0.0170266363919103,0.176641955354938,0.01321152378131,0.17282945413547,0.00770264678631172,0.167673584255958,-9.80218273830156,-3.31209804623097,0.937,0.946,14855488,1e+07
4,"indep",12,28,0,1.03598662353616,0.0133202733420223,0.148595616266829,0.0223433668420168,0.15094337273548,0.0142852841889465,0.148266711091747,0.00197196664951149,0.144806936208176,-4.8031281619283,5.45109020504231,0.936,0.947,14855654,1e+07
5,"indep",12,28,0,1.2604776827778,0.0072082150643924,0.139085261525662,0.017786801748388,0.140623277949048,0.00767042806297669,0.138822354666869,-0.00890467893698443,0.138358870806412,-6.72175979783145,5.51826937609763,0.948,0.954,14855269,1e+07
0.2,"indep",60,140,0,-2.40823963982765,0.445786225944683,0.790031508334226,0.713073541282466,0.762125510738424,0.81705705778264,0.856570171051505,0.98001464282957,1.0064415533397,452.650441068802,226.173741022331,0.811410459587956,0.847860538827258,7857245,6310000
0.3,"indep",60,140,0,-1.70418293557038,0.00786444588654156,0.580877869541238,0.140842864095531,0.34130833438164,0.238112280285212,0.377210082408966,0.387687478905641,0.46440269148632,145.455737177276,127.191860224955,0.903961584633854,0.943577430972389,10790406,8330000
0.4,"indep",60,140,0,-1.3434239967258,-0.0524787299797047,0.49754617533246,-0.0246859398200636,0.338408550660438,0.0595971412932581,0.318328963347959,0.183851710784478,0.328277397839476,22.9217471153234,67.5413024443599,0.93482905982906,0.951923076923077,12772067,9360000
0.5,"indep",60,140,0,-1.08976250011841,-0.0408729989217436,0.392501662749671,-0.0646677664913742,0.346567447997306,0.00290785169532493,0.312062735660516,0.0996551601124155,0.288434805349469,-0.605955686697401,31.1837671354361,0.931771894093686,0.954175152749491,13716496,9820000
0.6,"indep",60,140,0,-0.891612283389109,-0.0414455928282217,0.320110474745707,-0.0771621032482048,0.317667244037107,-0.0257153403358689,0.282942973796014,0.0486817390034205,0.25074211870188,-8.63869902842516,22.9449878109692,0.946946946946947,0.960960960960961,13862460,9990000
0.7,"indep",60,140,0,-0.728154080870475,-0.0192190995036829,0.260397951649197,-0.0498469283054034,0.27214561815625,-0.013964543088945,0.247018807290266,0.0400575054260094,0.223513535788899,-9.49496458951736,5.08180736262249,0.951,0.963,12813850,1e+07
0.8,"indep",60,140,0,-0.588673164605307,-0.0221957954804799,0.215165080454525,-0.0459289818366173,0.230902860513756,-0.0202067107983986,0.212711957261623,0.0204054633399923,0.19472278166797,1.08720899599073,4.3407360124154,0.96,0.966,11828394,1e+07
0.9,"indep",60,140,0,-0.466851680175666,-0.0175540127899296,0.188364198792071,-0.0349157433704081,0.200010743818204,-0.0162850194042626,0.188035953345458,0.014883073866971,0.175342476104122,3.10875323795321,3.10985779017721,0.964,0.969,10901334,1e+07
1,"indep",60,140,0,-0.358622366069503,-0.0132435559094541,0.177863555626197,-0.0258742127276214,0.185951826249149,-0.0120615802669113,0.177589153259272,0.0111083827711405,0.168370254772296,-7.9693433124336,-8.46921097075938,0.951,0.961,10338775,1e+07
